,Unnamed: 0,abstract_x,Text,abstract_y,ROUGE,abstract_x,abstract_y,abstract,BLEU,Bench_Seed,Baseline_ROUGE,Baseline_BLEU
3,90487,Epic Coffee!!, my dog loves this food,Cough Medicine,1.0,Cough Medicine,Cough Medicine,Cough Medicine,0.0,Cough Medicine,0.0,0.0
41,47052,Natural Balance Reduced Calorie Formula, great product,Oatmeal For Oatmeal Lovers,1.0,Oatmeal For Oatmeal Lovers,Oatmeal For Oatmeal Lovers,Oatmeal For Oatmeal Lovers,0.0,Oatmeal For Oatmeal Lovers,0.0,0.0
42,68434,RICE, great taste,Food-Great,1.0,Food-Great,Food-Great,Food-Great,0.0,Food-Great,0.0,0.0
45,27176,"Hey, thatsa spiceea Beef SticK!", great coffee,Hearty Oatmeal,1.0,Hearty Oatmeal,Hearty Oatmeal,Hearty Oatmeal,0.0,Hearty Oatmeal,0.0,0.0
53,27083,I lurve me some La Crotch water, great taste,not ass kickin,1.0,not ass kickin,not ass kickin,not ass kickin,0.0,not ass kickin,0.0,0.0
60,5869,Walnut oil, great snack,Better price for this at Target,1.0,Better price for this at Target,Better price for this at Target,Better price for this at Target,0.0,Better price for this at Target,0.0,0.0
64,7211,Very Tasty!, great product,great source of electrolytes,1.0,great source of electrolytes,great source of electrolytes,great source of electrolytes,0.25,great source of electrolytes,0.5,0.25
82,26714,bronchipret, great taste,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,1.0,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,0.0,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!,0.0,0.0
83,19607,Quick shipping., great food,Natural Balance Lamb and Rice,1.0,Natural Balance Lamb and Rice,Natural Balance Lamb and Rice,Natural Balance Lamb and Rice,0.0,Natural Balance Lamb and Rice,0.0,0.0
91,33419,"kinda dry, not too sweet, nothing special", not the best,Great dog food,1.0,Great dog food,Great dog food,Great dog food,0.0,Great dog food,0.0,0.0
93,33089,I love this tea!, great product,Great Dog Food!,1.0,Great Dog Food!,Great Dog Food!,Great Dog Food!,0.0,Great Dog Food!,0.0,0.0
102,72323,Revolting, great product,TART!,1.0,TART!,TART!,TART!,0.0,TART!,0.0,0.0
108,11601,Pepperoni Sticks, good product,Asparagus Bliss,1.0,Asparagus Bliss,Asparagus Bliss,Asparagus Bliss,0.0,Asparagus Bliss,0.0,0.0
114,88834,cheap source of instant noodle, my cats love this food,Tea review,1.0,Tea review,Tea review,Tea review,0.0,Tea review,0.0,0.0
117,41816,Wonderful Coffee Blend, great gum,Best everyday cookie!,1.0,Best everyday cookie!,Best everyday cookie!,Best everyday cookie!,0.0,Best everyday cookie!,0.0,0.0
135,93341,"great coffee,great deal", my cats love this,"Tastes great, but is cheaper locally.",1.0,"Tastes great, but is cheaper locally.","Tastes great, but is cheaper locally.","Tastes great, but is cheaper locally.",0.0,"Tastes great, but is cheaper locally.",0.0,0.0
182,70694,Iams ProActive Health Adult Pate with Gourmet Chicken Canned Cat Food, great coffee,Great product to help you sleep,1.0,Great product to help you sleep,Great product to help you sleep,Great product to help you sleep,0.0,Great product to help you sleep,0.0,0.0
201,5348,Delicious Dessert Replacement for Dieters, not bad,Love these! And reusable containers,1.0,Love these! And reusable containers,Love these! And reusable containers,Love these! And reusable containers,0.0,Love these! And reusable containers,0.0,0.0
202,83095,Great Aroma, great gum,Altoids,1.0,Altoids,Altoids,Altoids,0.0,Altoids,0.0,0.0
210,73438,These were fresh and tasty., great coffee,My cat loves it!,1.0,My cat loves it!,My cat loves it!,My cat loves it!,0.0,My cat loves it!,0.0,0.0
227,9768,Best Cherry Chocolate that I have come across., great gluten free pasta,The Best,1.0,The Best,The Best,The Best,0.0,The Best,0.0,0.0
231,17926,YUM!, great snack,Really Nice Taste!,1.0,Really Nice Taste!,Really Nice Taste!,Really Nice Taste!,0.0,Really Nice Taste!,0.0,0.0
250,62862,Vegan Chocolate Treat, great gum,Super!  SuperFoods are Super easy!,1.0,Super!  SuperFoods are Super easy!,Super!  SuperFoods are Super easy!,Super!  SuperFoods are Super easy!,0.0,Super! SuperFoods are Super easy!,0.0,0.0
258,23030,Very bitter...., great hot chocolate,Disappointed!,1.0,Disappointed!,Disappointed!,Disappointed!,0.0,Disappointed!,0.0,0.0
273,85624,Delicious!, great snack,great,1.0,great,great,great,0.36787944117144233,great,0.5,0.36787944117144233
285,26716,Best pepper in the world, great taste,too expensive,1.0,too expensive,too expensive,too expensive,0.0,too expensive,0.0,0.0
310,12936,Not sure why all the hype, great gift,WOW,1.0,WOW,WOW,WOW,0.0,WOW,0.0,0.0
335,78830,Hooked on this sugar, great taste,No no,1.0,No no,No no,No no,0.0,No no,0.0,0.0
339,38449,Smoking Fish, great product,"Love, Love, Love These!",1.0,"Love, Love, Love These!","Love, Love, Love These!","Love, Love, Love These!",0.0,"Love, Love, Love These!",0.0,0.0
352,6595,Skip this if you don't want to Bonk!, not bad,The product is great but the price is out of line,1.0,The product is great but the price is out of line,The product is great but the price is out of line,The product is great but the price is out of line,0.0,The product is great but the price is out of line,0.0,0.0
362,80023,Celiac Baking, not bad,"Drinking it now, love the latin america ""aroma""",1.0,"Drinking it now, love the latin america ""aroma""","Drinking it now, love the latin america ""aroma""","Drinking it now, love the latin america ""aroma""",0.0,"Drinking it now, love the latin america ""aroma""",0.0,0.0
365,72430,blue 1 food coloring = severe abdominal agony, great coffee,Can't find anywhere else!,1.0,Can't find anywhere else!,Can't find anywhere else!,Can't find anywhere else!,0.0,Can't find anywhere else!,0.0,0.0
